entry,at,order
"The player ""player1 @ 85m_d6hETP"" stand up with the stack of 950.00.",2021-08-08T21:13:22.839Z,162845720283900
"-- ending hand #5 --",2021-08-08T21:13:19.892Z,162845719989202
"""player1 @ 85m_d6hETP"" collected 10.00 from pot",2021-08-08T21:13:19.892Z,162845719989201
"Uncalled bet of 5.00 returned to ""player1 @ 85m_d6hETP""",2021-08-08T21:13:19.892Z,162845719989200
"""player2 @ jyXAN0EtRT"" folds",2021-08-08T21:13:19.077Z,162845719907700
"""player1 @ 85m_d6hETP"" posts a big blind of 10.00",2021-08-08T21:13:13.360Z,162845719336005
"""player2 @ jyXAN0EtRT"" posts a small blind of 5.00",2021-08-08T21:13:13.360Z,162845719336004
"Your hand is 2♦, 5♠",2021-08-08T21:13:13.360Z,162845719336002
"Player stacks: #1 ""player1 @ 85m_d6hETP"" (945.00) | #5 ""player2 @ jyXAN0EtRT"" (1055.00)",2021-08-08T21:13:13.360Z,162845719336001
"-- starting hand #5  (No Limit Texas Hold'em) (dealer: ""player2 @ jyXAN0EtRT"") --",2021-08-08T21:13:13.360Z,162845719336000
"-- ending hand #4 --",2021-08-08T21:13:10.437Z,162845719043702
"""player2 @ jyXAN0EtRT"" collected 10.00 from pot",2021-08-08T21:13:10.437Z,162845719043701
"Uncalled bet of 5.00 returned to ""player2 @ jyXAN0EtRT""",2021-08-08T21:13:10.437Z,162845719043700
"""player1 @ 85m_d6hETP"" folds",2021-08-08T21:13:09.629Z,162845718962900
"""player2 @ jyXAN0EtRT"" posts a big blind of 10.00",2021-08-08T21:12:59.958Z,162845717995805
"""player1 @ 85m_d6hETP"" posts a small blind of 5.00",2021-08-08T21:12:59.958Z,162845717995804
"Your hand is 7♠, A♠",2021-08-08T21:12:59.958Z,162845717995802
"Player stacks: #1 ""player1 @ 85m_d6hETP"" (950.00) | #5 ""player2 @ jyXAN0EtRT"" (1050.00)",2021-08-08T21:12:59.958Z,162845717995801
"-- starting hand #4  (No Limit Texas Hold'em) (dealer: ""player1 @ 85m_d6hETP"") --",2021-08-08T21:12:59.958Z,162845717995800
"-- ending hand #3 --",2021-08-08T21:12:53.915Z,162845717391503
"""player1 @ 85m_d6hETP"" shows a 5♣, 3♣.",2021-08-08T21:12:53.915Z,162845717391502
"""player2 @ jyXAN0EtRT"" collected 180.00 from pot with Pair, 2's (combination: 2♥, 2♣, Q♦, 9♦, 8♠)",2021-08-08T21:12:53.915Z,162845717391501
"""player2 @ jyXAN0EtRT"" shows a 9♦, 4♣.",2021-08-08T21:12:53.915Z,162845717391500
"""player2 @ jyXAN0EtRT"" checks",2021-08-08T21:12:53.108Z,162845717310800
"""player1 @ 85m_d6hETP"" checks",2021-08-08T21:12:50.479Z,162845717047900
"River: 8♠, 6♣, 2♥, 2♣ [Q♦]",2021-08-08T21:12:49.874Z,162845716987400
"""player2 @ jyXAN0EtRT"" checks",2021-08-08T21:12:49.068Z,162845716906800
"""player1 @ 85m_d6hETP"" checks",2021-08-08T21:12:47.958Z,162845716795800
"Turn: 8♠, 6♣, 2♥ [2♣]",2021-08-08T21:12:42.705Z,162845716270500
"""player2 @ jyXAN0EtRT"" calls 50.00",2021-08-08T21:12:41.897Z,162845716189700
"""player1 @ 85m_d6hETP"" raises to 50.00",2021-08-08T21:12:37.378Z,162845715737800
"""player2 @ jyXAN0EtRT"" raises to 40.00",2021-08-08T21:12:33.769Z,162845715376900
"""player1 @ 85m_d6hETP"" raises to 30.00",2021-08-08T21:12:31.468Z,162845715146800
"""player2 @ jyXAN0EtRT"" raises to 20.00",2021-08-08T21:12:29.399Z,162845714939900
"""player1 @ 85m_d6hETP"" bets 10.00",2021-08-08T21:12:26.838Z,162845714683800
"Flop:  [8♠, 6♣, 2♥]",2021-08-08T21:12:23.306Z,162845714330600
"""player2 @ jyXAN0EtRT"" calls 40.00",2021-08-08T21:12:22.500Z,162845714250000
"""player1 @ 85m_d6hETP"" raises to 40.00",2021-08-08T21:12:19.639Z,162845713963900
